dataset,time,number-clusters,silhouette,davies-bouldin,calinski-harabasz
data-lakes\clustering\Gas-Emissions\t2020_30.csv,0.149541,2,0.8214743086439017,0.18375942556024452,11.409652076318741
data-lakes\clustering\Hiking-Tours\videos_utf8.csv,305.798,2,0.5549566585442154,0.29888398415357786,5.891164373576459
data-lakes\clustering\Marriage\both_sexes.csv,0.0376574,2,0.840215844177751,0.20278026645536923,128.7579963503756
data-lakes\clustering\Marriage\divorce.csv,0.0086524,2,0.9332009160776813,0.1584292606812302,454.09505063209014
data-lakes\clustering\Marriage\men.csv,0.0410249,2,0.8003655292051891,0.2015513784477076,75.49804619689534
data-lakes\clustering\Marriage\women.csv,0.0496022,2,0.7610590442776964,0.34362360187162555,60.8207609200216
data-lakes\clustering\Rockfall-Risk\B-9.csv,0.896333,2,0.7105027565845411,0.38720532912686295,1714.3235345668465
data-lakes\clustering\Rockfall-Risk\C-6.csv,0.535898,2,0.9991428314265146,0.0007150935705631976,3621208.0418480407
data-lakes\clustering\Rockfall-Risk\D-1.csv,1.47798,2,0.996578375605556,0.0006102872202694488,94105.45167472571
data-lakes\clustering\Rockfall-Risk\E-7.csv,0.454245,2,0.999148706297588,0.0007088764463987203,3773039.788663978
data-lakes\clustering\Rockfall-Risk\F-4.csv,1.95414,2,0.9965727717182299,0.0006174692054715819,88553.41073983841
data-lakes\clustering\Rockfall-Risk\G-3.csv,0.646378,2,0.999152266360026,0.0007021274287872163,3656547.793873988
data-lakes\clustering\Rockfall-Risk\H-1.csv,33.2372,2,0.9413175715345056,0.29393893256399084,17759.260469560177
data-lakes\clustering\Rockfall-Risk\H-2.csv,21.3337,9,0.7767064845917181,0.42903291814333383,49330.89214963256
data-lakes\clustering\Rockfall-Risk\H-3.csv,13.2886,12,0.6223330392435555,2.245886537720604,1117.4133449911346
data-lakes\clustering\Rockfall-Risk\H-4.csv,47.4121,2,0.9291180739238912,0.4568392620285756,10539.007521630847
data-lakes\clustering\Rockfall-Risk\J-1.csv,15.0092,12,0.686651612055764,2.0383605609610433,1144.499795259567
data-lakes\clustering\Rockfall-Risk\J-2.csv,21.528,8,0.692481010152405,1.386415780273571,2045.7031939074975
data-lakes\clustering\Rockfall-Risk\J-3.csv,60.1616,2,0.9456156794324105,0.25916575272338843,21134.84159358091
data-lakes\clustering\Rockfall-Risk\J-4.csv,14.9505,12,0.7097520824682568,1.8379972902491657,1188.4007787142964
data-lakes\clustering\Rockfall-Risk\K-6.csv,16.0187,12,0.7079662454946892,2.1808109061574723,1036.020922919807
data-lakes\clustering\Rockfall-Risk\K-7.csv,12.313,12,0.7045054651790462,2.29921826873356,1059.3104206196588
data-lakes\clustering\Rockfall-Risk\K-8.csv,14.1151,12,0.5615781080430183,2.2008766098850385,1173.7548351355633
data-lakes\clustering\Rockfall-Risk\K-9.csv,14.8917,12,0.877988481210738,1.6532676463232783,1775.1742405312355
data-lakes\clustering\Rockfall-Risk\Z-1.csv,9.6877,12,0.9430480031727982,0.24732103219921642,346.9228525618393
data-lakes\clustering\Rockfall-Risk\Z-2.csv,87.7494,2,0.5326889478814482,0.6343613418059857,4474.728871108018
data-lakes\clustering\Second-Language\37100078.csv,0.0832848,2,0.9986435408676924,0.0011983063319508445,6929787.472485146
data-lakes\clustering\Second-Language\37100141.csv,0.0711989,2,0.9999999196910886,6.014751219463619e-08,1267912781931982.2
data-lakes\clustering\Second-Language\CS_ANG.csv,0.010963,3,0.7447228138920067,0.02863865294042356,554.4186352135515
data-lakes\clustering\Teen-Pregnancy\13100166.csv,3.54244,2,0.9999943122353683,5.140940555225666e-06,1359976186471.3062
data-lakes\clustering\Teen-Pregnancy\13100169.csv,1.35346,2,0.9920801474682153,0.0063219475599148155,867993.1160940335
data-lakes\clustering\Teen-Pregnancy\13100170.csv,6.04745,2,0.9862908772239383,0.29528287465422415,2355.9104977212464
data-lakes\clustering\Teen-Pregnancy\13100172.csv,1.13484,2,0.9915513916441981,0.007728300934213595,1197709.5093078774
data-lakes\clustering\Teen-Pregnancy\13100173.csv,1.16175,2,0.9915524604118586,0.007728300934213635,1277823.8577565665
data-lakes\clustering\Tuition-Fees\34100282.csv,37.3963,2,0.9986407456114479,0.0012014212479648464,174628437.8454183
data-lakes\clustering\Tuition-Fees\37100004.csv,33.6985,2,0.7458912459044353,0.32082654697835644,1427.845758167104
data-lakes\clustering\Tuition-Fees\37100005.csv,36.8411,2,0.9936606751952495,0.013154727802690863,2492.215826784255
data-lakes\clustering\Tuition-Fees\37100006.csv,38.1279,2,0.9623605686228978,0.12502814911063462,2755.6438150830945
data-lakes\clustering\UBER-Trips\jan-feb-foils.csv,0.994248,2,0.6905873882087586,0.19914888138912124,11.420338983050852
data-lakes\clustering\WiFi-Hotspots\DailyUsage.csv,0.0062604,2,0.7108385301795842,0.34468383766227423,135.06311527643763
data-lakes\clustering\WiFi-Hotspots\csv-4.csv,0.0074166,2,0.9468659874275194,0.14096472140044622,939.4548502511739
data-lakes\clustering\WiFi-Hotspots\eduroam.csv,0.0074644,2,0.8407584246360854,0.11695928654096349,15.117647058823529
data-lakes\clustering\WiFi-Hotspots\geojson-2.csv,0.0241177,10,0.6955895039692495,0.02233016751042702,6653.835851115887
data-lakes\clustering\WiFi-Hotspots\json-5.csv,0.0117699,2,0.9033176149576231,0.07128171653754718,26.071428571428584
